"logFC","logCPM","PValue","FDR"
"Tcas000444",-1.82246784455344,3.15110840501591,7.77987376594022e-06,0.00082698402839654
"Tcas007950",1.0083546901236,7.23210057452927,8.1131256569181e-06,0.000853330016462375
"Tcas000108",-7.00759187207635,8.02906909765883,8.41304594609293e-06,0.000875657865555839
"Tcas007215",1.27711603332874,4.7959705885872,8.60228078390908e-06,0.000886123604049686
"Tcas008288",1.36038309009975,2.42160781351514,9.00441362900776e-06,0.000918082663071893
"Tcas005073",-1.77565683701361,3.0570012381119,9.26382185181852e-06,0.000934990989326976
"Tcas007457",-1.42979830343967,3.56717893210041,1.007182845266e-05,0.00100637709898979
"Tcas001913",0.865933378783515,7.06373682847543,1.02990373103847e-05,0.00101889089906301
"Tcas012482",-2.31356501200849,4.76627141772602,1.05289620614561e-05,0.00102702344136243
"Tcas002980",1.42171226943163,4.54220710877836,1.05868108947488e-05,0.00102702344136243
"Tcas004626",-2.70573652503924,3.08212318438093,1.0748059887618e-05,0.00103264052304884
"Tcas002901",-1.03431970982667,7.21821105064473,1.23699099929772e-05,0.00117714419666503
"Tcas000934",-1.36250180716393,6.38180084629649,1.31402899776538e-05,0.0012326747126921
"Tcas012401",0.985847937469372,5.67630676190719,1.3200179569461e-05,0.0012326747126921
"Tcas007742",1.3592789546181,6.63769956936657,1.36275605279603e-05,0.00126080171106832
"Tcas002464",2.49475387954764,5.96234465766139,1.40052303891715e-05,0.00128385561512479
"Tcas004398",0.914557504415899,7.34772538092855,1.41413634665157e-05,0.00128455003415841
"Tcas012067",1.4831088372007,2.60416830301713,1.5435572945212e-05,0.00138947968350052
"Tcas002003",1.78978853335872,11.432005749579,1.56117813787813e-05,0.00139279392443556
"Tcas009190",-2.34080571497279,6.95814463287513,1.60293764655666e-05,0.0014173940676455
"Tcas002547",-1.72323588100066,6.77741128744125,1.62631630305041e-05,0.0014254519736912
"Tcas001723",1.11236902125468,4.67266030888328,1.68124092018089e-05,0.00146077906734326
"Tcas000497",1.08686837312082,8.70812389621287,1.7132789496858e-05,0.00147578304010867
"Tcas009462",0.965313895987285,3.88511754507519,1.8005765585592e-05,0.00153772316009602
"Tcas010977",0.97172802495262,6.86051086599398,1.82069342025034e-05,0.00154172615721538
"Tcas000305",-3.0238905636252,6.29662223266763,2.06785636002109e-05,0.00173630426464964
"Tcas009515",-0.928527986546402,6.61058752818932,2.15619400204397e-05,0.00179539087236861
"Tcas009509",-1.25582951141108,5.89080172695005,2.44463730832114e-05,0.00201284795196917
"Tcas001429",-0.83664866578281,6.43989472621719,2.45764061389351e-05,0.00201284795196917
"Tcas004813",-1.02963784237715,4.43611040313978,2.49788671555372e-05,0.0020265209437315
"Tcas002997",-1.61557098589684,6.51244970525776,2.51489788853789e-05,0.0020265209437315
"Tcas000568",-1.94583079772659,5.11553498760076,2.57148610324197e-05,0.0020555431314875
"Tcas000880",-3.80949950383072,8.22466972264712,2.63333479808569e-05,0.002088276293847
"Tcas008106",1.92063922360251,3.13749889415823,2.80526862838467e-05,0.00220710583738737
"Tcas012048",-3.67740199840587,7.54961934271735,2.85586938221365e-05,0.00222936303649053
"Tcas011193",-1.03027366719073,5.95878769082939,2.91922358543121e-05,0.00225189085426651
"Tcas008385",1.35778907443841,8.61663413558775,2.92980195210815e-05,0.00225189085426651
"Tcas000861",1.03982251841727,4.88461187422033,2.98183614393314e-05,0.00226982092928511
"Tcas005268",-2.78267281220505,6.24700017031219,3.00113132747848e-05,0.00226982092928511
"Tcas006608",-0.88085811640761,5.60628937367202,3.02127885903642e-05,0.00226982092928511
"Tcas010494",1.15130371713416,7.23418607910543,3.09783073679231e-05,0.00230996453149468
"Tcas005094",3.01743495439272,4.38613899379728,3.13786671807151e-05,0.00232248624051634
"Tcas003075",-0.977090867717854,5.80579359952577,3.20469545366235e-05,0.00235450860095546
"Tcas004414",0.74932786889867,6.47728443054006,3.30381689460721e-05,0.00240961594240257
"Tcas000696",-2.61335464172991,2.94395575915052,3.35675708220011e-05,0.00242219453553691
"Tcas002584",-1.54976075786998,3.30004997585668,3.36954604122928e-05,0.00242219453553691
"Tcas003397",1.34541282383901,2.13225050905772,3.53242408987603e-05,0.00252114153614581
"Tcas009517",-1.8205101474781,6.82347267992233,3.63484010784751e-05,0.00257583846507889
"Tcas008327",-0.892501814595225,7.15435008663282,3.92224486973647e-05,0.00275993455904273
"Tcas001531",0.889976599274507,5.80746259429315,4.32030677242689e-05,0.00301877659231395
"Tcas007432",0.746774939817073,5.37081647478551,4.38312441991297e-05,0.00304140133359517
"Tcas005888",0.904566297862967,6.03586986425598,4.65622340865326e-05,0.00320861960684575
"Tcas003445",0.733523179364089,6.17951640431525,4.70220907296022e-05,0.00321811459294647
"Tcas010519",-2.18639889265935,6.00413142934114,4.84907333737492e-05,0.00329605039367689
"Tcas009997",-3.2794969910152,12.8444039590125,5.06234024475398e-05,0.00341776376524201
"Tcas001208",1.19036344724405,7.66045905433577,5.13068165792384e-05,0.00341977896789234
"Tcas001006",-0.97032123319377,7.40715406126247,5.16686879778322e-05,0.00341977896789234
"Tcas000162",-0.848033287443495,4.92841168572539,5.16800064203106e-05,0.00341977896789234
"Tcas006159",1.14649218144994,5.30371874599183,5.20904160636206e-05,0.00342425945597169
"Tcas011495",0.752486922493826,6.10473769455329,5.897586602855e-05,0.00385154806115864
"Tcas004816",1.32615521761625,4.55012906986342,6.2324712398397e-05,0.00404382159925183
"Tcas008900",1.59108929858378,3.87269849525769,6.35544749296882e-05,0.004093007650922
"Tcas010420",-2.77613900222254,9.91723303747439,6.39020409871729e-05,0.004093007650922
"Tcas010099",-4.03589671008788,2.14130272224944,6.46773361684055e-05,0.00411627989168603
"Tcas012300",1.25099054030696,4.73208680615686,6.60139227956861e-05,0.00412810663344683
"Tcas002557",1.23964952055675,11.6942134872962,6.67383717481235e-05,0.00412810663344683
"Tcas011934",-1.84569424292763,6.72421994411121,6.70742877475857e-05,0.00412810663344683
"Tcas010627",1.15004960033083,6.18050058030138,6.72751448242768e-05,0.00412810663344683
"Tcas005879",0.775889759549116,4.17922308541462,6.75169094525588e-05,0.00412810663344683
"Tcas003424",-2.03812290497014,2.196180621096,6.76474535658802e-05,0.00412810663344683
"Tcas007137",-1.55185849121436,2.15864301251068,6.77551529108568e-05,0.00412810663344683
"Tcas003361",-4.79122483729335,1.53407108232185,7.00942474061574e-05,0.00424473769746864
"Tcas004374",-0.95043605491097,4.52112293330599,7.11184439571492e-05,0.00428081621698696
"Tcas011543",-0.820285815704329,4.68228009619446,7.20832039906209e-05,0.00431290643278015
"Tcas004441",0.975483804303058,5.69204849000627,7.63177162847438e-05,0.00453908703045928
"Tcas004649",4.45796461561666,7.58254112288089,8.06848827704313e-05,0.00477043401563402
"Tcas012293",-1.0844571785269,3.00364064813766,8.1349445905215e-05,0.0047814333146171
"Tcas008824",1.09435947712812,3.6675620006242,8.55125545419607e-05,0.0049967335963934
"Tcas003844",1.52390135471986,8.10630624355239,9.1664155437324e-05,0.00532504791354501
"Tcas004352",2.58044682174076,2.31399207676399,9.29598245072865e-05,0.00536910154032836
"Tcas011561",-1.15361279472088,3.91736286940851,9.47781925702224e-05,0.00543518372093078
"Tcas011363",-1.21299582326793,5.43412489967564,9.51918686111777e-05,0.00543518372093078
"Tcas009302",1.26089215853038,7.97101316814322,0.000100659745091603,0.00571472825542781
"Tcas009303",-1.25613679838065,5.52896841682374,0.000102298592553914,0.00576495097815632
"Tcas011939",1.04028729074639,7.12386180514102,0.000103111906383195,0.00576495097815632
"Tcas011474",-3.58302164713737,2.28306166198579,0.000103409959095304,0.00576495097815632
"Tcas003757",-2.51979462223296,4.78090676676285,0.00010442458013957,0.00576495097815632
"Tcas009946",-1.26991786461408,3.85786719876043,0.000104429156029453,0.00576495097815632
"Tcas000318",0.808753459776896,6.16701115176707,0.000107090208607869,0.00587937013411995
"Tcas002991",-2.86029146368343,13.4635986734682,0.000117345186587981,0.00640717543380932
"Tcas005329",-2.86675237599217,5.50189657326343,0.000119912919164505,0.00651179287115073
"Tcas001624",2.50018110518453,1.03870051739289,0.000122112479761051,0.00659539404201308
"Tcas008681",1.07789114254482,5.29795095247741,0.000129292432577538,0.00694564508771374
"Tcas001062",-1.19600330502662,9.06349213567224,0.000134164645430993,0.00714226598366756
