"logFC","logCPM","PValue","FDR"
"Tcas002779",-1.90342147017504,4.80955915113595,6.93396652241251e-11,1.28304062022122e-08
"Tcas001746",-1.1915844719206,4.53370847031725,9.43355303076425e-11,1.71381930697084e-08
"Tcas008244",1.6691387284549,5.09545395656162,9.6654541804877e-11,1.72459318163273e-08
"Tcas009776",-1.9338239151628,9.52752542422568,1.28753995262031e-10,2.25703494852318e-08
"Tcas003844",-2.59486268771545,8.10630624355239,1.37021688729068e-10,2.36055295479457e-08
"Tcas002980",-2.11964723793676,4.54220710877836,1.90279439787455e-10,3.22249519043432e-08
"Tcas004414",-1.15729154555212,6.47728443054006,1.97795633282156e-10,3.2939566129255e-08
"Tcas011402",-2.22800385557284,4.27640903527728,2.20428571166861e-10,3.61069226737586e-08
"Tcas011930",-4.33052467270041,11.2513434481138,3.05745088411669e-10,4.9274272958216e-08
"Tcas008044",-2.43105796731731,4.78551644860492,3.44144111279114e-10,5.45823485698557e-08
"Tcas000696",3.93825121995667,2.94395575915052,3.69883039360882e-10,5.77479895202178e-08
"Tcas000424",-2.1877719891873,9.29890387213144,4.1296282621894e-10,6.34819163012254e-08
"Tcas010072",-2.57687260392684,8.05609506301605,4.56129302691032e-10,6.90552120074059e-08
"Tcas005008",1.41951227065626,6.32594550154268,5.4845806837994e-10,8.1793925660483e-08
"Tcas012194",1.85522672611273,2.84188863323832,1.01386378713659e-09,1.48978337662777e-07
"Tcas004806",1.19990213657572,4.743786383644,1.10428666008934e-09,1.59913511704532e-07
"Tcas007742",-1.91718094528089,6.63769956936657,1.54071590392381e-09,2.19008785616871e-07
"Tcas005904",-2.84799798652914,8.48896610636081,1.55620734375479e-09,2.19008785616871e-07
"Tcas005162",-1.74926941125368,9.953552167288,1.63593117816e-09,2.27030893502426e-07
"Tcas001054",-1.07169925836114,5.12933373058186,1.74826815904578e-09,2.39297197879253e-07
"Tcas000497",-1.53664897000031,8.70812389621287,1.83430044439784e-09,2.47680135681395e-07
"Tcas005541",-1.65358165442521,4.1306374411857,1.89421538143122e-09,2.5236000121681e-07
"Tcas012143",1.58098706371583,7.69129917365095,2.14009756926624e-09,2.81366512001425e-07
"Tcas005925",2.44451412120228,8.20005153365246,3.12109044248207e-09,4.05012151964687e-07
"Tcas004402",-4.24752434468114,9.25504928294276,3.27405663739298e-09,4.1941505026706e-07
"Tcas000861",-1.48773789790459,4.88461187422033,4.1615216120014e-09,5.26353467685038e-07
"Tcas010516",-1.17777885328536,6.5073688291917,5.50203632342289e-09,6.87204336795519e-07
"Tcas008924",-4.48692267868083,5.92027237545632,5.90321447277931e-09,7.28208876691493e-07
"Tcas003282",-3.5781157046695,6.12302967277577,6.15787805729411e-09,7.50359970103448e-07
"Tcas005872",-1.73186639423814,4.14373801830092,6.36362929651502e-09,7.66088963021422e-07
"Tcas004296",-2.50019297034537,5.02604634463152,6.46786681259975e-09,7.69368157041627e-07
"Tcas004678",-1.79457751222633,7.09870351788189,7.03897784721673e-09,8.27452548816348e-07
"Tcas003336",-1.85597895057705,5.5259997705915,8.22592132006498e-09,9.55737277094061e-07
"Tcas005528",2.43671820760583,8.84542803155388,1.13352172372795e-08,1.30185621419422e-06
"Tcas004748",1.69217967192956,6.04239817838509,1.16386592195837e-08,1.32151685138728e-06
"Tcas001913",-1.12460301784534,7.06373682847543,1.18140232055801e-08,1.32635640303546e-06
"Tcas000444",2.26661964470247,3.15110840501591,1.48150075790664e-08,1.64479506366702e-06
"Tcas004697",-1.562205511022,4.64567001636688,1.71312864971507e-08,1.88105290856627e-06
"Tcas005777",8.18218574618525,2.6220765124248,1.8618637670731e-08,2.02214595223852e-06
"Tcas008106",-2.68675973262028,3.13749889415823,1.89594153517903e-08,2.03701589457084e-06
"Tcas004939",-1.63072940809243,6.24717266789686,2.00175741908207e-08,2.12782554590085e-06
"Tcas008523",1.64940204438795,5.324371319306,2.19104059357518e-08,2.30451343273718e-06
"Tcas003434",-1.41412707773738,6.34439970292083,2.39917580791605e-08,2.49714215340596e-06
"Tcas000564",6.53671584803854,4.18541074982232,3.38438347529885e-08,3.48626388507074e-06
"Tcas006439",-1.08900062748748,4.54060100036359,3.61653164067905e-08,3.68738613812909e-06
"Tcas003893",-1.17858935458459,6.20092041449967,5.01972576560311e-08,5.06637372221275e-06
"Tcas010433",-1.46295312487823,5.12365952678223,5.90932717464111e-08,5.9045997129014e-06
"Tcas004456",-2.29725608688437,3.50353164374452,6.27873763127595e-08,6.21159865462468e-06
"Tcas001190",-1.58125566893022,6.51856229954578,7.7106659574926e-08,7.55342884777118e-06
"Tcas007426",-1.43889057410951,5.61545669199916,7.88433285257357e-08,7.64856833620535e-06
"Tcas001505",-1.17968172223373,7.83058097892695,8.24131230262346e-08,7.8580280529941e-06
"Tcas010555",1.79809663943395,8.32925929276976,8.25753548403103e-08,7.8580280529941e-06
"Tcas008415",-1.09216504763632,4.67764749562922,9.0563650463471e-08,8.5369056172736e-06
"Tcas010798",-1.1779692781419,6.2639396718495,9.53077600608912e-08,8.90014148157406e-06
"Tcas004113",-2.75380199953791,9.31790740103901,9.80647523116022e-08,9.0728056027549e-06
"Tcas012520",-1.86170665494513,4.01335670654236,9.9725362300346e-08,9.14179651472529e-06
"Tcas005135",-0.941341688188811,5.4629513680218,1.01399338427515e-07,9.21074717788843e-06
